Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
546,Denis Vavro\Denis-Vavro,sk SVK,DF,Huesca,25-039,1996,10,8,543,6.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.3,0.04,0.01,0.05,0.04,0.05,Matches
547,Franco Vázquez\Franco-Vazquez,ar ARG,FWMF,Sevilla,32-086,1989,14,0,109,1.2,1,0,1,0,0,1,0,0.83,0.00,0.83,0.83,0.83,0.3,0.3,0.2,0.5,0.26,0.15,0.42,0.26,0.42,Matches
548,Kevin Vázquez\Kevin-Vazquez,es ESP,DF,Celta Vigo,28-057,1993,7,4,477,5.3,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches
549,Lucas Vázquez\Lucas-Vazquez,es ESP,DFFW,Real Madrid,29-322,1991,24,21,1848,20.5,2,5,2,0,0,3,0,0.10,0.24,0.34,0.10,0.34,2.2,2.2,4.3,6.5,0.11,0.21,0.32,0.11,0.32,Matches
550,Koke Vegas\Koke-Vegas,es ESP,GK,Levante,25-234,1995,1,1,90,1.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
551,Gabriel Veiga\Gabriel-Veiga,es ESP,MFDF,Celta Vigo,18-357,2002,5,1,113,1.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.03,0.03,0.00,0.03,Matches
552,Unai Vencedor Paris\Unai-Vencedor-Paris,es ESP,MF,Athletic Club,20-185,2000,27,19,1667,18.5,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.2,0.7,0.02,0.01,0.04,0.02,0.04,Matches
553,Gonzalo Verdú\Gonzalo-Verdu,es ESP,DF,Elche,32-210,1988,32,32,2880,32.0,0,2,0,0,0,11,0,0.00,0.06,0.06,0.00,0.06,0.7,0.7,1.3,1.9,0.02,0.04,0.06,0.02,0.06,Matches
554,Mikel Vesga\Mikel-Vesga,es ESP,MF,Athletic Club,27-363,1993,29,19,1666,18.5,0,1,0,0,0,7,0,0.00,0.05,0.05,0.00,0.05,1.6,1.6,1.0,2.6,0.09,0.06,0.14,0.09,0.14,Matches
555,Rúben Vezo\Ruben-Vezo,pt POR,DF,Levante,27-024,1994,32,25,2316,25.7,1,0,1,0,0,7,0,0.04,0.00,0.04,0.04,0.04,0.3,0.3,0.2,0.5,0.01,0.01,0.02,0.01,0.02,Matches
556,Iñigo Vicente\Inigo-Vicente,es ESP,FW,Athletic Club,23-133,1998,2,0,33,0.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.10,0.56,0.65,0.10,0.65,Matches
557,Fede Vico\Fede-Vico,es ESP,MFFW,Granada,26-319,1994,19,8,678,7.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.9,1.5,0.07,0.12,0.20,0.07,0.20,Matches
558,Aleix Vidal\Aleix-Vidal,es ESP,DF,Sevilla,31-271,1989,11,4,505,5.6,0,1,0,0,0,1,0,0.00,0.18,0.18,0.00,0.18,0.0,0.0,1.0,1.0,0.00,0.17,0.18,0.00,0.18,Matches
559,Nacho Vidal\Nacho-Vidal,es ESP,DF,Osasuna,26-115,1995,33,24,2258,25.1,0,0,0,0,0,10,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,1.7,2.2,0.02,0.07,0.09,0.02,0.09,Matches
560,Toni Villa\Toni-Villa,es ESP,MFFW,Valladolid,26-132,1995,20,9,908,10.1,2,0,2,0,0,2,0,0.20,0.00,0.20,0.20,0.20,0.9,0.9,1.3,2.2,0.09,0.13,0.22,0.09,0.22,Matches
561,Asier Villalibre\Asier-Villalibre,es ESP,FW,Athletic Club,23-231,1997,34,15,1499,16.7,4,2,4,0,0,1,0,0.24,0.12,0.36,0.24,0.36,4.9,4.9,2.0,6.9,0.30,0.12,0.42,0.30,0.42,Matches
562,Iván Villar\Ivan-Villar,es ESP,GK,Celta Vigo,23-314,1997,20,18,1691,18.8,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
563,Vitolo\Vitolo,es ESP,MFFW,Atlético Madrid,31-198,1989,10,3,298,3.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.2,0.7,0.15,0.07,0.22,0.15,0.22,Matches
564,Šime Vrsaljko\Sime-Vrsaljko,hr CRO,DF,Atlético Madrid,29-129,1992,9,6,519,5.8,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
565,Nikola Vukčević\Nikola-Vukcevic,me MNE,MF,Levante,29-157,1991,13,11,810,9.0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.3,0.02,0.02,0.04,0.02,0.04,Matches
566,Daniel Wass\Daniel-Wass,dk DEN,MFDF,Valencia,31-353,1989,35,35,2979,33.1,4,1,3,1,1,8,0,0.12,0.03,0.15,0.09,0.12,3.2,2.4,2.4,4.8,0.10,0.07,0.17,0.07,0.14,Matches
567,Shon Weissman\Shon-Weissman,il ISR,FW,Valladolid,25-094,1996,31,23,2043,22.7,6,1,6,0,0,3,0,0.26,0.04,0.31,0.26,0.31,5.0,5.0,1.7,6.7,0.22,0.07,0.30,0.22,0.30,Matches
568,Iñaki Williams\Inaki-Williams,es ESP,FW,Athletic Club,26-338,1994,37,27,2353,26.1,6,6,5,1,1,1,0,0.23,0.23,0.46,0.19,0.42,6.9,6.2,4.6,10.8,0.26,0.18,0.44,0.24,0.41,Matches
569,Nico Williams\Nico-Williams,es ESP,MF,Athletic Club,18-311,2002,2,0,57,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.03,0.00,0.03,0.03,0.03,Matches
570,Jawad El Yamiq\Jawad-El-Yamiq,ma MAR,DF,Valladolid,29-079,1992,18,14,1289,14.3,0,1,0,0,0,5,0,0.00,0.07,0.07,0.00,0.07,0.3,0.3,0.0,0.4,0.02,0.00,0.03,0.02,0.03,Matches
571,Rubén Yáñez\Ruben-Yanez,es ESP,GK,Getafe,27-219,1993,9,9,810,9.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
572,Yoel\Yoel,es ESP,GK,Eibar,32-264,1988,3,2,210,2.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
573,Okay Yokuşlu\Okay-Yokuslu,tr TUR,MF,Celta Vigo,27-071,1994,12,3,462,5.1,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.3,0.7,0.08,0.05,0.14,0.08,0.14,Matches
574,Joseba Zaldúa\Joseba-Zaldua,es ESP,DF,Real Sociedad,28-329,1992,12,6,639,7.1,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.8,0.8,0.01,0.11,0.11,0.01,0.11,Matches
575,Oier Zarraga\Oier-Zarraga,es ESP,MF,Athletic Club,22-135,1999,5,1,100,1.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.08,0.04,0.13,0.08,0.13,Matches
576,Igor Zubeldia\Igor-Zubeldia,es ESP,DF,Real Sociedad,24-050,1997,24,21,1959,21.8,1,1,1,0,0,5,0,0.05,0.05,0.09,0.05,0.09,1.0,1.0,0.7,1.8,0.05,0.03,0.08,0.05,0.08,Matches
577,Martín Zubimendi\Martin-Zubimendi,es ESP,MF,Real Sociedad,22-106,1999,30,16,1792,19.9,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.3,0.8,0.03,0.01,0.04,0.03,0.04,Matches
578,Martin Ødegaard\Martin-Odegaard,no NOR,MFFW,Real Madrid,22-153,1998,7,3,234,2.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.4,0.5,0.04,0.15,0.19,0.04,0.19,Matches
