Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
117,Philippe Coutinho\Philippe-Coutinho,br BRA,MFFW,Barcelona,28-341,1992,7.3,454,523,86.8,6951,1476,257,280,91.8,158,179,88.3,29,48,60.4,2,0.9,+1.1,7,40,15,2,44,Matches
118,Juan Cruz Armada\Juan-Cruz-Armada,es ESP,DF,Osasuna,28-295,1992,21.8,606,870,69.7,11287,5974,261,308,84.7,265,362,73.2,74,162,45.7,0,0.5,-0.5,12,45,13,7,55,Matches
119,Sergio Cubero Ezcurra\Sergio-Cubero-Ezcurra,es ESP,MF,Eibar,21-256,1999,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
120,Cucho\Cucho,co COL,FWMF,Getafe,22-029,1999,16.0,336,505,66.5,5215,1432,192,250,76.8,97,159,61.0,30,55,54.5,3,1.1,+1.9,16,21,16,3,36,Matches
121,Marc Cucurella\Marc-Cucurella,es ESP,MF,Getafe,22-301,1998,35.1,894,1266,70.6,14559,4912,490,599,81.8,307,420,73.1,77,174,44.3,2,3.0,-1.0,35,65,35,12,103,Matches
122,Patrick Cutrone\Patrick-Cutrone,it ITA,FW,Valencia,23-136,1998,1.2,15,20,75.0,280,44,6,7,85.7,5,6,83.3,2,4,50.0,0,0.2,-0.2,1,1,2,0,3,Matches
123,Moussa Dembélé\Moussa-Dembele,fr FRA,FWMF,Atlético Madrid,24-311,1996,1.1,20,33,60.6,281,23,14,20,70.0,6,11,54.5,0,1,0.0,0,0.0,0.0,1,0,1,0,1,Matches
124,Ousmane Dembélé\Ousmane-Dembele,fr FRA,FWDF,Barcelona,24-004,1997,18.7,818,988,82.8,12993,2815,463,514,90.1,283,341,83.0,58,85,68.2,3,4.9,-1.9,36,39,42,6,73,Matches
125,Sergiño Dest\Sergino-Dest,us USA,DF,Barcelona,20-197,2000,20.0,1117,1250,89.4,15546,4026,699,749,93.3,351,386,90.9,32,48,66.7,1,2.6,-1.6,22,43,25,6,57,Matches
126,Deyverson\Deyverson,br BRA,FW,Alavés,30-011,1991,9.7,155,310,50.0,3155,1052,71,129,55.0,51,98,52.0,28,60,46.7,3,1.6,+1.4,7,24,8,3,22,Matches
127,Abdoulay Diaby\Abdoulay-Diaby,ml MLI,MF,Getafe,29-363,1991,0.2,5,10,50.0,69,11,4,5,80.0,1,2,50.0,0,2,0.0,0,0.1,-0.1,1,0,0,0,0,Matches
128,Mouctar Diakhaby\Mouctar-Diakhaby,fr FRA,DF,Valencia,24-151,1996,22.1,819,952,86.0,19126,5678,195,216,90.3,439,465,94.4,183,256,71.5,0,0.0,0.0,0,43,1,0,37,Matches
129,Víctor Díaz\Victor-Diaz,es ESP,DF,Granada,32-341,1988,8.7,254,372,68.3,5578,2627,79,90,87.8,121,151,80.1,52,116,44.8,2,0.3,+1.7,7,22,6,4,25,Matches
130,Papakouli Diop\Papakouli-Diop,sn SEN,MF,Eibar,35-061,1986,25.1,616,881,69.9,13023,3189,207,266,77.8,285,391,72.9,115,195,59.0,1,1.1,-0.1,14,91,10,2,74,Matches
131,Djené\Djene,tg TOG,DF,Getafe,29-139,1991,31.7,691,904,76.4,15659,4988,181,218,83.0,349,412,84.7,155,263,58.9,1,0.1,+0.9,4,54,2,1,56,Matches
132,Marko Dmitrović\Marko-Dmitrovic,rs SRB,GK,Eibar,29-115,1992,34.7,580,1074,54.0,27390,21416,49,49,100.0,169,172,98.3,359,849,42.3,0,0.5,-0.5,4,68,2,0,1,Matches
133,Jaume Doménech\Jaume-Domenech,es ESP,GK,Valencia,30-195,1990,28.0,623,897,69.5,22663,15899,88,89,98.9,220,222,99.1,312,583,53.5,0,0.0,0.0,0,6,0,0,1,Matches
134,Carlos Dominguez\Carlos-Dominguez,es ESP,DF,Celta Vigo,20-138,2001,3.0,77,97,79.4,1728,627,20,20,100.0,43,51,84.3,14,24,58.3,0,0.1,-0.1,1,1,0,0,2,Matches
135,John Donald\John-Donald,es ESP,DF,Elche,20-262,2000,0.6,19,20,95.0,379,146,10,11,90.9,5,5,100.0,4,4,100.0,0,0.0,0.0,0,0,0,0,0,Matches
136,Cheick Doukouré\Cheick-Doukoure,ci CIV,MF,Levante,28-250,1992,1.1,39,45,86.7,796,101,14,15,93.3,16,19,84.2,8,10,80.0,0,0.1,-0.1,1,3,0,0,1,Matches
137,Idrissa Doumbia\Idrissa-Doumbia,ci CIV,MF,Huesca,23-035,1998,8.4,358,391,91.6,6682,1182,141,154,91.6,175,185,94.6,40,46,87.0,0,0.0,0.0,1,19,1,0,16,Matches
138,Domingos Duarte\Domingos-Duarte,pt POR,DF,Granada,26-070,1995,26.3,761,948,80.3,17453,6258,186,212,87.7,397,445,89.2,172,274,62.8,0,1.0,-1.0,5,56,4,1,85,Matches
139,Óscar Duarte\Oscar-Duarte,cr CRC,DF,Levante,31-350,1989,21.9,936,1075,87.1,21314,6710,223,241,92.5,492,521,94.4,206,291,70.8,0,0.2,-0.2,4,39,0,0,54,Matches
140,Rubén Duarte\Ruben-Duarte,es ESP,DF,Alavés,25-213,1995,27.3,909,1284,70.8,17691,9268,399,456,87.5,371,488,76.0,131,300,43.7,1,2.4,-1.4,26,71,24,10,114,Matches
141,Unai Dufur\Unai-Dufur,es ESP,DF,Eibar,22-138,1999,0.7,34,43,79.1,697,313,8,9,88.9,21,25,84.0,5,7,71.4,0,0.0,0.0,0,2,0,0,4,Matches
142,Hugo Duro\Hugo-Duro,es ESP,FW,Real Madrid,21-190,1999,0.6,5,5,100.0,53,5,5,5,100.0,0,0,,0,0,,0,0.1,-0.1,1,0,1,0,1,Matches
143,Aritz Elustondo\Aritz-Elustondo,es ESP,DF,Real Sociedad,27-052,1994,19.9,1001,1148,87.2,21586,6620,280,303,92.4,534,581,91.9,178,250,71.2,0,0.2,-0.2,3,87,5,2,83,Matches
144,Rodrigo Ely\Rodrigo-Ely,br BRA,DF,Alavés,27-197,1993,5.2,125,159,78.6,3190,1013,27,33,81.8,61,70,87.1,35,53,66.0,0,0.1,-0.1,1,4,1,0,5,Matches
145,Emerson\Emerson,br BRA,DF,Betis,22-125,1999,32.2,1534,1891,81.1,24624,9043,828,920,90.0,561,668,84.0,110,207,53.1,4,2.2,+1.8,30,82,42,16,111,Matches
146,Youssef En-Nesyri\Youssef-En-Nesyri,ma MAR,FW,Sevilla,23-352,1997,24.7,276,401,68.8,4015,447,164,203,80.8,84,130,64.6,16,32,50.0,0,1.3,-1.3,11,8,0,0,9,Matches
147,Sergi Enrich\Sergi-Enrich,es ESP,FW,Eibar,31-082,1990,14.8,341,444,76.8,5091,745,203,251,80.9,100,131,76.3,24,33,72.7,0,0.9,-0.9,13,22,8,2,25,Matches
148,Aarón Escandell\Aaron-Escandell,es ESP,GK,Granada,25-234,1995,4.0,55,120,45.8,2165,1608,7,7,100.0,18,19,94.7,30,94,31.9,0,0.0,0.0,0,5,0,0,0,Matches
149,Dani Escriche\Dani-Escriche,es ESP,FWMF,Huesca,23-056,1998,9.5,198,267,74.2,2850,467,116,143,81.1,70,86,81.4,7,21,33.3,1,1.3,-0.3,6,10,2,0,15,Matches
150,Sergio Escudero\Sergio-Escudero,es ESP,DF,Sevilla,31-259,1989,5.5,280,342,81.9,4940,1794,129,140,92.1,123,140,87.9,21,48,43.8,0,0.5,-0.5,7,15,9,3,18,Matches
151,Alfonso Espino\Alfonso-Espino,uy URU,DF,Cádiz,29-134,1992,28.9,666,1039,64.1,13322,6944,267,313,85.3,279,408,68.4,102,256,39.8,3,1.3,+1.7,14,48,13,10,59,Matches
152,Vicente Esquerdo\Vicente-Esquerdo,es ESP,MF,Valencia,22-137,1999,2.6,77,97,79.4,1445,319,38,42,90.5,26,32,81.3,11,17,64.7,0,0.1,-0.1,2,3,1,0,7,Matches
153,Pervis Estupiñán\Pervis-Estupinan,ec ECU,DF,Villarreal,23-118,1998,13.0,523,667,78.4,9534,3076,235,273,86.1,220,260,84.6,61,98,62.2,0,1.3,-1.3,15,14,22,15,32,Matches
154,Xabier Etxeita\Xabier-Etxeita,es ESP,DF,Getafe,33-200,1987,9.8,195,289,67.5,5002,1287,30,43,69.8,104,120,86.7,59,118,50.0,0,0.2,-0.2,1,13,0,0,18,Matches
155,Edu Expósito\Edu-Exposito,es ESP,MF,Eibar,24-291,1996,27.3,879,1179,74.6,17085,4672,339,422,80.3,382,461,82.9,137,242,56.6,3,2.8,+0.2,41,103,19,3,119,Matches
156,Fali\Fali,es ESP,DFMF,Cádiz,27-280,1993,28.3,489,696,70.3,11966,3588,129,154,83.8,219,272,80.5,135,255,52.9,0,0.7,-0.7,8,55,8,3,53,Matches
157,Ansu Fati\Ansu-Fati,es ESP,FW,Barcelona,18-200,2002,4.8,174,205,84.9,2150,459,122,137,89.1,40,47,85.1,3,5,60.0,0,1.4,-1.4,9,3,7,0,11,Matches
158,Nabil Fekir\Nabil-Fekir,fr FRA,MFFW,Betis,27-305,1993,28.1,1050,1292,81.3,17676,4819,524,591,88.7,366,424,86.3,118,203,58.1,6,5.2,+0.8,51,118,47,5,117,Matches
159,Felipe\Felipe,br BRA,DF,Atlético Madrid,32-003,1989,21.9,854,987,86.5,18121,5655,277,302,91.7,413,458,90.2,155,213,72.8,0,0.2,-0.2,3,34,0,0,39,Matches
160,João Félix\Joao-Felix,pt POR,FWMF,Atlético Madrid,21-190,1999,17.2,556,669,83.1,8232,2516,339,381,89.0,151,184,82.1,39,56,69.6,5,3.8,+1.2,20,63,20,0,72,Matches
161,Aitor Fernández\Aitor-Fernandez,es ESP,GK,Levante,30-016,1991,29.0,698,921,75.8,18559,10955,145,146,99.3,303,307,98.7,228,446,51.1,0,0.0,0.0,0,9,0,0,0,Matches
162,Álex Fernández\Alex-Fernandez,es ESP,MF,Cádiz,28-216,1992,21.6,667,898,74.3,13364,3973,247,295,83.7,283,333,85.0,122,233,52.4,1,1.8,-0.8,24,70,14,6,60,Matches
163,Álvaro Fernández\Alvaro-Fernandez,es ESP,GK,Huesca,23-036,1998,21.0,591,788,75.0,17609,9565,78,79,98.7,271,275,98.5,229,421,54.4,0,0.1,-0.1,1,10,0,0,0,Matches
164,Andrés Fernández\Andres-Fernandez,es ESP,GK,Huesca,34-153,1986,16.0,386,566,68.2,10986,6751,70,70,100.0,183,184,99.5,127,305,41.6,0,0.0,0.0,0,2,0,0,0,Matches
165,Augusto Fernández\Augusto-Fernandez,ar ARG,MF,Cádiz,35-039,1986,3.5,81,102,79.4,1608,305,26,32,81.3,37,41,90.2,15,24,62.5,0,0.0,0.0,0,3,1,0,7,Matches
166,Carlos Fernández\Carlos-Fernandez,es ESP,FW,Sevilla,24-362,1996,1.6,29,39,74.4,374,82,17,20,85.0,10,14,71.4,0,2,0.0,0,0.1,-0.1,1,2,0,0,2,Matches
167,Carlos Fernández\Carlos-Fernandez,es ESP,FWMF,Real Sociedad,24-362,1996,4.1,75,112,67.0,1081,320,45,60,75.0,22,31,71.0,5,10,50.0,2,0.4,+1.6,4,3,3,0,11,Matches
168,Joaquín Fernández\Joaquin-Fernandez,es ESP,DF,Valladolid,24-353,1996,23.0,622,763,81.5,14262,4337,153,170,90.0,319,359,88.9,143,219,65.3,0,0.3,-0.3,2,32,2,0,29,Matches
169,Fernando\Fernando,br BRA,MF,Sevilla,33-298,1987,28.3,1391,1537,90.5,27707,6641,487,524,92.9,697,744,93.7,194,243,79.8,4,3.4,+0.6,19,96,10,0,92,Matches
170,David Ferreiro\David-Ferreiro,es ESP,MFFW,Huesca,33-048,1988,27.1,696,1063,65.5,14086,4543,273,335,81.5,276,376,73.4,135,301,44.9,4,5.3,-1.3,67,57,43,19,82,Matches
171,Facundo Ferreyra\Facundo-Ferreyra,ar ARG,FW,Celta Vigo,30-066,1991,3.3,36,55,65.5,536,80,20,28,71.4,10,17,58.8,3,3,100.0,0,0.0,0.0,0,1,0,0,2,Matches
172,Fidel\Fidel,es ESP,MFDF,Elche,31-204,1989,25.6,855,1162,73.6,15572,5068,413,476,86.8,300,382,78.5,121,249,48.6,3,5.0,-2.0,47,62,21,11,77,Matches
173,Junior Firpo\Junior-Firpo,es ESP,DF,Barcelona,24-270,1996,2.7,180,198,90.9,2538,717,102,109,93.6,69,74,93.2,3,6,50.0,1,0.7,+0.3,5,8,1,0,12,Matches
174,Kingsley Fobi\Kingsley-Fobi,gh GHA,DF,Granada,22-241,1998,0.5,8,12,66.7,127,68,4,6,66.7,4,6,66.7,0,0,,0,0.0,0.0,0,0,1,0,1,Matches
175,Ramón Folch\Ramon-Folch,es ESP,MF,Elche,31-227,1989,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0,Matches
176,José Fontán\Jose-Fontan,es ESP,DF,Celta Vigo,21-097,2000,7.2,278,340,81.8,5415,1782,95,102,93.1,151,171,88.3,28,56,50.0,0,0.0,0.0,0,23,2,0,29,Matches
177,Dimitri Foulquier\Dimitri-Foulquier,fr FRA,DF,Granada,28-057,1993,28.6,812,1063,76.4,14388,6624,374,425,88.0,342,424,80.7,84,165,50.9,4,1.8,+2.2,10,50,12,5,76,Matches
178,Juan Foyth\Juan-Foyth,ar ARG,DFMF,Villarreal,23-127,1998,13.0,650,734,88.6,12360,3842,269,295,91.2,291,315,92.4,86,106,81.1,0,0.2,-0.2,3,47,11,1,56,Matches
179,Jorge de Frutos\Jorge-de-Frutos,es ESP,MFFW,Levante,24-088,1997,23.3,467,683,68.4,8024,2595,223,286,78.0,179,242,74.0,50,110,45.5,9,5.2,+3.8,37,29,25,11,56,Matches
180,Ramiro Funes Mori\Ramiro-Funes-Mori,ar ARG,DF,Villarreal,30-075,1991,8.1,420,477,88.1,8549,2835,151,164,92.1,199,217,91.7,67,90,74.4,0,0.0,0.0,0,21,1,0,25,Matches
181,Javi Galán\Javi-Galan,es ESP,DF,Huesca,26-181,1994,34.1,1424,1820,78.2,25505,9419,679,753,90.2,576,690,83.5,151,307,49.2,2,3.1,-1.1,40,70,50,27,114,Matches
182,Enric Gallego\Enric-Gallego,es ESP,FW,Osasuna,34-249,1986,8.2,151,260,58.1,2370,649,81,128,63.3,54,88,61.4,11,26,42.3,2,0.7,+1.3,8,25,5,1,22,Matches
183,Kévin Gameiro\Kevin-Gameiro,fr FRA,FW,Valencia,34-010,1987,12.0,210,265,79.2,3052,337,123,141,87.2,68,91,74.7,10,13,76.9,1,1.2,-0.2,4,6,4,0,9,Matches
184,Aleix García\Aleix-Garcia,es ESP,MF,Eibar,23-325,1997,4.9,225,271,83.0,4760,980,85,97,87.6,92,103,89.3,45,65,69.2,1,0.8,+0.2,8,25,4,2,20,Matches
185,Borja García\Borja-Garcia,es ESP,MFFW,Huesca,30-198,1990,12.3,472,552,85.5,7876,1509,254,277,91.7,164,185,88.6,47,66,71.2,0,1.2,-1.2,21,33,12,0,39,Matches
186,Dani García\Dani-Garcia,es ESP,MF,Athletic Club,30-360,1990,21.3,866,1036,83.6,18651,4104,261,311,83.9,422,467,90.4,168,229,73.4,1,0.4,+0.6,7,95,2,1,75,Matches
187,David García\David-Garcia,es ESP,DF,Osasuna,27-094,1994,34.0,945,1252,75.5,22517,9074,230,277,83.0,487,579,84.1,214,370,57.8,0,0.3,-0.3,4,88,2,0,103,Matches
188,Manu García\Manu-Garcia,es ESP,MF,Alavés,35-023,1986,11.5,254,359,70.8,4697,1063,109,137,79.6,105,145,72.4,30,54,55.6,0,0.3,-0.3,4,26,1,1,23,Matches
189,Raúl García\Raul-Garcia,es ESP,FWMF,Athletic Club,34-312,1986,19.4,372,597,62.3,6021,2033,188,258,72.9,128,206,62.1,37,79,46.8,1,1.3,-0.3,18,55,18,0,71,Matches
190,Raúl García\Raul-Garcia,es ESP,DFMF,Valladolid,32-019,1989,5.6,199,287,69.3,3439,1632,99,119,83.2,80,108,74.1,15,41,36.6,0,0.2,-0.2,5,14,5,3,18,Matches
191,Rubén García\Ruben-Garcia,es ESP,MFFW,Osasuna,27-309,1993,30.2,803,1212,66.3,16148,5160,354,462,76.6,265,381,69.6,162,298,54.4,5,5.1,-0.1,51,70,41,22,76,Matches
192,Sergi García\Sergi-Garcia,es ESP,MF,Alavés,22-035,1999,0.2,5,8,62.5,115,0,1,3,33.3,3,4,75.0,1,1,100.0,0,0.0,0.0,0,0,0,0,0,Matches
193,Unai García\Unai-Garcia,es ESP,DF,Osasuna,29-105,1992,13.2,319,407,78.4,8595,2710,57,67,85.1,158,184,85.9,103,149,69.1,0,0.2,-0.2,3,29,2,0,26,Matches
194,Mario Gaspar\Mario-Gaspar,es ESP,DF,Villarreal,30-176,1990,19.6,895,1060,84.4,15617,5908,391,432,90.5,423,472,89.6,64,109,58.7,2,1.7,+0.3,12,47,23,10,58,Matches
195,Paulo Gazzaniga\Paulo-Gazzaniga,ar ARG,GK,Elche,29-137,1992,7.0,123,208,59.1,5250,4239,15,15,100.0,45,45,100.0,62,147,42.2,0,0.1,-0.1,1,21,3,0,0,Matches
196,David Gil\David-Gil,es ESP,GK,Cádiz,27-128,1994,3.0,30,86,34.9,1476,1164,0,0,,5,6,83.3,25,80,31.3,0,0.0,0.0,0,0,0,0,0,Matches
197,Álvaro Giménez\Alvaro-Gimenez,es ESP,FWMF,Cádiz,30-000,1991,4.5,58,93,62.4,890,161,33,48,68.8,20,30,66.7,4,8,50.0,1,0.0,+1.0,1,6,3,0,6,Matches
198,Dani Gómez\Dani-Gomez,es ESP,FW,Levante,22-293,1998,17.8,238,318,74.8,3312,674,148,174,85.1,65,82,79.3,12,23,52.2,2,1.1,+0.9,12,11,11,3,19,Matches
199,Ibai Gómez\Ibai-Gomez,es ESP,MF,Athletic Club,31-189,1989,3.9,94,142,66.2,1642,720,51,62,82.3,29,44,65.9,13,34,38.2,1,0.6,+0.4,6,6,3,2,15,Matches
200,Maxi Gómez\Maxi-Gomez,uy URU,FW,Valencia,24-278,1996,29.0,366,545,67.2,6171,1186,202,263,76.8,108,176,61.4,45,73,61.6,1,0.9,+0.1,11,34,6,2,43,Matches
201,Moi Gómez\Moi-Gomez,es ESP,MFFW,Villarreal,26-330,1994,28.4,1083,1325,81.7,18725,3974,540,590,91.5,424,503,84.3,104,178,58.4,0,2.5,-2.5,30,64,34,4,95,Matches
202,Papu Gómez\Papu-Gomez,ar ARG,MFFW,Sevilla,33-093,1988,10.0,501,575,87.1,9096,1907,243,262,92.7,185,203,91.1,64,92,69.6,1,0.8,+0.2,14,42,10,2,33,Matches
203,Sergi Gómez\Sergi-Gomez,es ESP,DF,Sevilla,29-052,1992,8.0,506,540,93.7,11057,2517,106,113,93.8,314,321,97.8,85,101,84.2,0,0.0,0.0,0,9,0,0,10,Matches
204,Sergio Gómez\Sergio-Gomez,es ESP,MFFW,Huesca,20-257,2000,7.8,269,378,71.2,4629,1628,148,175,84.6,90,107,84.1,30,81,37.0,1,1.0,0.0,12,26,5,2,25,Matches
205,Maxime Gonalons\Maxime-Gonalons,fr FRA,MF,Granada,32-070,1989,16.4,602,726,82.9,13256,3342,181,206,87.9,295,329,89.7,119,171,69.6,1,0.6,+0.4,6,70,3,0,59,Matches
206,Bruno González\Bruno-Gonzalez,es ESP,DF,Valladolid,30-360,1990,25.1,597,764,78.1,13996,3896,138,163,84.7,299,349,85.7,152,234,65.0,0,0.0,0.0,1,23,0,0,28,Matches
207,Diego González\Diego-Gonzalez,es ESP,DF,Elche,26-111,1995,14.2,656,726,90.4,14441,4489,164,172,95.3,373,387,96.4,115,159,72.3,0,0.1,-0.1,1,21,0,0,31,Matches
208,Sergio González\Sergio-Gonzalez,es ESP,MF,Cádiz,24-005,1997,1.0,20,29,69.0,382,77,9,13,69.2,6,7,85.7,4,8,50.0,0,0.0,0.0,1,0,0,0,0,Matches
209,Urko González\Urko-Gonzalez,es ESP,MF,Real Sociedad,20-060,2001,0.5,27,30,90.0,566,136,8,8,100.0,15,17,88.2,4,5,80.0,0,0.0,0.0,1,4,0,0,2,Matches
210,Andoni Gorosabel\Andoni-Gorosabel,es ESP,DF,Real Sociedad,24-288,1996,25.5,1115,1382,80.7,18160,7605,574,636,90.3,437,528,82.8,79,159,49.7,1,2.3,-1.3,22,84,38,8,100,Matches
211,Antoine Griezmann\Antoine-Griezmann,fr FRA,FWMF,Barcelona,30-059,1991,27.9,1128,1282,88.0,16974,2812,649,720,90.1,364,405,89.9,75,87,86.2,7,5.6,+1.4,41,63,35,2,68,Matches
212,Andrés Guardado\Andres-Guardado,mx MEX,MF,Betis,34-233,1986,13.9,643,764,84.2,12850,2858,250,278,89.9,285,322,88.5,93,136,68.4,0,0.5,-0.5,7,63,9,1,58,Matches
213,Sergi Guardiola\Sergi-Guardiola,es ESP,FW,Valladolid,29-355,1991,19.6,328,502,65.3,4951,1032,212,297,71.4,71,108,65.7,31,52,59.6,2,1.6,+0.4,9,14,10,2,23,Matches
214,Nemanja Gudelj\Nemanja-Gudelj,rs SRB,MF,Sevilla,29-184,1991,10.6,664,706,94.1,13281,2689,220,227,96.9,347,360,96.4,88,105,83.8,0,0.0,0.0,2,30,2,0,20,Matches
215,Gonçalo Guedes\Goncalo-Guedes,pt POR,MFFW,Valencia,24-171,1996,24.6,557,763,73.0,10163,2971,273,335,81.5,205,268,76.5,70,114,61.4,5,3.5,+1.5,27,51,48,13,80,Matches
216,Ander Guevara\Ander-Guevara,es ESP,MF,Real Sociedad,23-316,1997,22.1,1107,1332,83.1,21185,4950,457,518,88.2,487,563,86.5,149,205,72.7,1,0.6,+0.4,11,102,10,0,101,Matches
217,John Guidetti\John-Guidetti,se SWE,FWMF,Alavés,29-034,1992,1.5,30,48,62.5,555,145,13,22,59.1,8,12,66.7,6,9,66.7,0,0.0,0.0,0,3,1,0,2,Matches
218,Hugo Guillamón\Hugo-Guillamon,es ESP,DF,Valencia,21-108,2000,21.1,995,1116,89.2,23267,7301,218,241,90.5,546,575,95.0,225,288,78.1,0,0.0,0.0,0,79,2,0,76,Matches
219,Jon Guridi\Jon-Guridi,es ESP,MF,Real Sociedad,26-080,1995,9.2,292,355,82.3,4901,1086,157,179,87.7,108,127,85.0,23,35,65.7,1,0.7,+0.3,5,35,7,1,24,Matches
220,Raúl Guti\Raul-Guti,es ESP,MF,Elche,24-140,1996,30.8,1041,1239,84.0,19510,4133,440,490,89.8,437,494,88.5,139,205,67.8,1,0.5,+0.5,6,80,6,1,70,Matches
221,Marcos Mauro López Gutiérrez\Marcos-Mauro-Lopez-Gutierrez,ar ARG,DF,Cádiz,30-130,1991,20.3,421,497,84.7,9959,2436,91,101,90.1,216,233,92.7,106,150,70.7,0,0.1,-0.1,2,8,0,0,15,Matches
222,Miguel Gutiérrez\Miguel-Gutierrez,es ESP,DF,Real Madrid,19-296,2001,2.8,194,218,89.0,2928,908,110,119,92.4,68,74,91.9,12,17,70.6,1,0.2,+0.8,4,13,6,3,8,Matches
223,Munir El Haddadi\Munir-El-Haddadi,ma MAR,FW,Sevilla,25-260,1995,9.4,272,345,78.8,4545,837,133,161,82.6,110,130,84.6,20,36,55.6,2,1.6,+0.4,11,13,11,4,24,Matches
224,Eden Hazard\Eden-Hazard,be BEL,FWMF,Real Madrid,30-132,1991,5.9,303,344,88.1,4491,793,193,215,89.8,81,89,91.0,21,22,95.5,2,0.8,+1.2,6,12,6,0,19,Matches
225,Mario Hermoso\Mario-Hermoso,es ESP,DF,Atlético Madrid,25-335,1995,28.0,1584,1864,85.0,30518,11136,643,685,93.9,731,819,89.3,199,321,62.0,1,0.4,+0.6,9,151,16,2,145,Matches
226,Aridane Hernández\Aridane-Hernandez,gq EQG,DF,Osasuna,32-057,1989,22.5,563,687,82.0,13734,4203,133,159,83.6,276,306,90.2,148,207,71.5,0,0.5,-0.5,6,32,2,0,37,Matches
227,Héctor Herrera\Hector-Herrera,mx MEX,MF,Atlético Madrid,31-030,1990,7.5,591,663,89.1,10846,2837,258,279,92.5,234,259,90.3,79,97,81.4,1,0.3,+0.7,6,64,8,1,57,Matches
228,Sergio Herrera\Sergio-Herrera,es ESP,GK,Osasuna,27-348,1993,32.9,631,1144,55.2,32058,25732,33,36,91.7,94,98,95.9,502,1006,49.9,0,0.0,0.0,0,64,0,0,1,Matches
229,Yangel Herrera\Yangel-Herrera,ve VEN,MF,Granada,23-132,1998,25.7,597,882,67.7,10706,3343,255,351,72.6,277,370,74.9,53,113,46.9,1,1.1,-0.1,9,99,9,1,90,Matches
230,Pablo Hervías\Pablo-Hervias,es ESP,DFMF,Valladolid,28-072,1993,13.3,552,731,75.5,9750,3645,269,296,90.9,209,257,81.3,66,148,44.6,5,3.3,+1.7,31,37,19,12,40,Matches
231,Jordan Holsgrove\Jordan-Holsgrove,sco SCO,MF,Celta Vigo,21-251,1999,1.6,92,104,88.5,1497,271,47,49,95.9,34,35,97.1,8,15,53.3,0,0.0,0.0,1,10,0,0,3,Matches
232,Vicente Iborra\Vicente-Iborra,es ESP,MF,Villarreal,33-123,1988,10.3,545,604,90.2,10868,2560,193,212,91.0,261,278,93.9,81,98,82.7,0,0.2,-0.2,2,39,6,0,28,Matches
233,Oussama Idrissi\Oussama-Idrissi,ma MAR,FWMF,Sevilla,25-082,1996,0.3,8,10,80.0,232,24,3,4,75.0,2,2,100.0,3,3,100.0,0,0.0,0.0,0,0,1,1,0,Matches
234,Iglesias\Iglesias,es ESP,DFMF,Getafe,22-320,1998,5.7,94,170,55.3,1803,880,39,49,79.6,36,56,64.3,15,57,26.3,0,0.2,-0.2,3,8,5,4,7,Matches
235,Borja Iglesias\Borja-Iglesias,es ESP,FW,Betis,28-122,1993,14.8,190,259,73.4,2841,382,114,149,76.5,49,62,79.0,17,24,70.8,0,0.5,-0.5,5,6,3,1,11,Matches
236,Ilaix\Ilaix,es ESP,MF,Barcelona,18-120,2003,5.4,311,338,92.0,4693,715,175,186,94.1,114,124,91.9,15,18,83.3,2,0.8,+1.2,7,22,3,0,13,Matches
237,Asier Illarramendi\Asier-Illarramendi,es ESP,MF,Real Sociedad,31-072,1990,3.7,238,261,91.2,4476,1359,95,99,96.0,115,122,94.3,25,36,69.4,0,0.0,0.0,1,29,2,0,25,Matches
238,Pablo Insua\Pablo-Insua,es ESP,DF,Huesca,27-252,1993,17.6,647,756,85.6,14965,4326,154,171,90.1,359,392,91.6,131,186,70.4,0,0.1,-0.1,2,23,1,0,19,Matches
239,Takashi Inui\Takashi-Inui,jp JPN,MFFW,Eibar,32-351,1988,19.2,338,499,67.7,5642,1433,177,213,83.1,122,172,70.9,30,84,35.7,0,1.9,-1.9,14,23,21,10,33,Matches
240,Alexander Isak\Alexander-Isak,se SWE,FW,Real Sociedad,21-240,1999,25.0,320,439,72.9,5030,765,166,203,81.8,115,152,75.7,24,37,64.9,2,1.7,+0.3,10,13,19,2,33,Matches
241,Isco\Isco,es ESP,MFFW,Real Madrid,29-028,1992,9.7,618,713,86.7,10598,2784,316,335,94.3,214,246,87.0,69,101,68.3,2,1.7,+0.3,20,67,15,0,65,Matches
242,Jairo Izquierdo\Jairo-Izquierdo,es ESP,MFDF,Cádiz,27-209,1993,13.9,328,457,71.8,5327,1764,166,202,82.2,126,159,79.2,27,69,39.1,0,0.9,-0.9,8,21,7,4,20,Matches
243,Saidy Janko\Saidy-Janko,ch SUI,DF,Valladolid,25-209,1995,12.7,407,548,74.3,7130,2571,190,223,85.2,168,220,76.4,39,78,50.0,1,0.4,+0.6,8,25,12,7,29,Matches
244,Adnan Januzaj\Adnan-Januzaj,be BEL,FWMF,Real Sociedad,26-103,1995,11.2,404,568,71.1,7519,2778,198,230,86.1,136,172,79.1,58,130,44.6,4,4.0,0.0,23,30,38,8,65,Matches
