Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Matches
29,Ronald Araújo\Ronald-Araujo,uy URU,DF,Barcelona,22-073,1999,15.8,908,982,92.5,18363,4016,271,284,95.4,512,533,96.1,118,154,76.6,1,0.1,+0.9,1,45,0,0,23,Matches
30,Anaitz Arbilla\Anaitz-Arbilla,es ESP,DF,Eibar,34-004,1987,30.2,1411,1836,76.9,33790,11807,417,464,89.9,596,700,85.1,381,631,60.4,1,0.9,+0.1,12,154,15,6,146,Matches
31,Unai Arietaleanizbeaskoa\Unai-Arietaleanizbeaskoa,es ESP,FWMF,Eibar,22-138,1999,0.5,4,7,57.1,51,15,2,4,50.0,2,2,100.0,0,0,,0,0.0,0.0,0,0,0,0,1,Matches
32,Sergio Arribas\Sergio-Arribas,es ESP,FWDF,Real Madrid,19-231,2001,1.5,76,92,82.6,1168,317,38,43,88.4,29,34,85.3,4,5,80.0,0,0.0,0.0,1,3,4,1,9,Matches
33,Sergio Asenjo\Sergio-Asenjo,es ESP,GK,Villarreal,31-325,1989,36.0,1033,1307,79.0,29726,17194,176,176,100.0,512,520,98.5,340,606,56.1,0,0.0,0.0,0,11,0,0,0,Matches
34,Marco Asensio\Marco-Asensio,es ESP,FWMF,Real Madrid,25-118,1996,20.2,789,983,80.3,12998,2962,437,480,91.0,248,295,84.1,86,151,57.0,2,3.0,-1.0,36,43,38,10,73,Matches
35,Iago Aspas\Iago-Aspas,es ESP,FW,Celta Vigo,33-291,1987,30.8,936,1220,76.7,14896,3461,504,620,81.3,299,373,80.2,89,121,73.6,12,8.3,+3.7,59,56,48,5,110,Matches
36,Miguel Atienza\Miguel-Atienza,es ESP,MF,Eibar,21-357,1999,8.3,249,307,81.1,4527,881,107,129,82.9,103,121,85.1,32,44,72.7,0,0.1,-0.1,2,26,4,1,20,Matches
37,Ezequiel Ávila\Ezequiel-Avila,ar ARG,MFFW,Osasuna,27-102,1994,2.2,32,57,56.1,650,176,13,22,59.1,12,18,66.7,6,12,50.0,0,0.0,0.0,0,4,3,0,5,Matches
38,Ramon Azeez\Ramon-Azeez,ng NGA,MFDF,Granada,28-158,1992,1.1,28,38,73.7,416,47,17,22,77.3,11,15,73.3,0,1,0.0,0,0.0,0.0,0,3,0,0,0,Matches
39,Carlos Bacca\Carlos-Bacca,co COL,FW,Villarreal,34-253,1986,8.0,104,157,66.2,1617,383,56,71,78.9,22,39,56.4,13,22,59.1,0,0.9,-0.9,6,9,6,1,12,Matches
40,Édgar Badía\Edgar-Badia,es ESP,GK,Elche,29-096,1992,30.0,867,1147,75.6,27112,17618,125,126,99.2,354,357,99.2,353,629,56.1,0,0.0,0.0,1,12,0,0,1,Matches
41,Alex Baena\Alex-Baena,es ESP,MF,Villarreal,19-303,2001,1.5,42,55,76.4,693,110,20,25,80.0,19,25,76.0,3,5,60.0,0,0.1,-0.1,2,3,1,0,3,Matches
42,Miguel Baeza\Miguel-Baeza,es ESP,MFFW,Celta Vigo,21-053,2000,5.9,170,210,81.0,2843,653,86,103,83.5,58,68,85.3,19,27,70.4,0,0.6,-0.6,6,11,6,2,13,Matches
43,Mikel Balenziaga\Mikel-Balenziaga,es ESP,DF,Athletic Club,33-079,1988,17.8,658,877,75.0,11992,3999,285,334,85.3,292,358,81.6,73,143,51.0,1,0.6,+0.4,7,57,8,6,42,Matches
44,Barcia\Barcia,es ESP,DF,Granada,20-139,2000,1.0,13,34,38.2,252,104,5,9,55.6,6,13,46.2,2,10,20.0,0,0.0,0.0,0,2,0,0,1,Matches
45,Enis Bardhi\Enis-Bardhi,mk MKD,MF,Levante,25-321,1995,18.0,647,867,74.6,12663,3600,281,333,84.4,246,304,80.9,110,194,56.7,2,1.1,+0.9,20,60,30,12,80,Matches
46,Kike Barja\Kike-Barja,es ESP,MFFW,Osasuna,24-048,1997,15.0,325,473,68.7,5534,1547,174,210,82.9,112,154,72.7,31,72,43.1,3,1.9,+1.1,17,16,19,9,41,Matches
47,Marc Baró\Marc-Baro,es ESP,DF,Cádiz,21-269,1999,1.0,10,19,52.6,211,150,5,6,83.3,3,6,50.0,2,6,33.3,0,0.3,-0.3,2,0,0,0,0,Matches
48,Antonio Barragán\Antonio-Barragan,es ESP,DF,Elche,33-341,1987,23.8,1067,1290,82.7,21188,7788,389,424,91.7,505,574,88.0,160,259,61.8,3,1.0,+2.0,9,53,15,7,67,Matches
49,Ander Barrenetxea\Ander-Barrenetxea,es ESP,MFFW,Real Sociedad,19-143,2001,14.4,292,407,71.7,4783,1105,150,183,82.0,111,146,76.0,24,48,50.0,0,2.0,-2.0,14,20,12,3,28,Matches
50,Marc Bartra\Marc-Bartra,es ESP,DF,Betis,30-124,1991,17.8,761,934,81.5,16726,4658,216,234,92.3,401,459,87.4,139,232,59.9,0,0.0,0.0,2,31,1,0,27,Matches
51,Rodrigo Battaglia\Rodrigo-Battaglia,ar ARG,MF,Alavés,29-311,1991,27.5,869,1032,84.2,16502,3410,358,403,88.8,381,424,89.9,115,168,68.5,0,0.2,-0.2,3,56,4,1,49,Matches
52,Jon Bautista\Jon-Bautista,es ESP,FWMF,Real Sociedad,25-320,1995,4.1,55,89,61.8,853,149,26,39,66.7,21,32,65.6,4,9,44.4,1,0.2,+0.8,4,3,1,0,4,Matches
53,Fran Beltrán\Fran-Beltran,es ESP,MF,Celta Vigo,22-105,1999,14.6,662,731,90.6,12474,2621,265,287,92.3,303,325,93.2,86,101,85.1,0,0.3,-0.3,6,48,8,2,31,Matches
