Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog,Matches
511,Augusto Solari\Augusto-Solari,ar ARG,MF,Celta Vigo,29-136,1992,5.0,260,8,50,131,93,17,255,6,13,46.2,10,0,174,692,419,17,5,3,7,9,207,162,78.3,23,Matches
512,Roberto Soldado\Roberto-Soldado,es ESP,FW,Granada,35-357,1985,15.7,480,15,33,210,248,76,441,5,14,35.7,6,2,219,762,312,23,7,8,29,10,679,314,46.2,107,Matches
513,Carlos Soler\Carlos-Soler,es ESP,MF,Valencia,24-137,1997,29.4,1806,92,419,1078,442,35,1601,22,38,57.9,26,0,1114,6797,3861,149,43,2,21,20,1303,1189,91.3,39,Matches
514,Son\Son,es ESP,DFMF,Levante,27-050,1994,11.4,703,39,162,310,267,31,582,12,24,50.0,16,1,406,1830,1004,45,22,1,15,11,463,393,84.9,41,Matches
515,David Soria\David-Soria,es ESP,GK,Getafe,28-045,1993,28.0,927,719,910,17,1,0,584,0,0,,0,0,377,2778,2019,0,0,0,0,0,264,258,97.7,0,Matches
516,Alberto Soro\Alberto-Soro,es ESP,FWMF,Granada,22-071,1999,3.9,159,3,18,73,80,10,151,2,5,40.0,3,0,109,685,362,20,7,1,5,9,150,97,64.7,23,Matches
517,Hugo Sotelo\Hugo-Sotelo,es ESP,MF,Celta Vigo,17-151,2003,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,Matches
518,Damián Suárez\Damian-Suarez,uy URU,DF,Getafe,33-022,1988,26.3,1520,43,364,774,439,9,1156,19,32,59.4,20,6,650,2806,1647,70,27,2,10,19,697,649,93.1,26,Matches
519,Denis Suárez\Denis-Suarez,es ESP,MF,Celta Vigo,27-133,1994,30.7,2214,32,345,1457,587,19,2040,38,64,59.4,42,2,1555,8392,4422,231,87,4,40,27,1781,1626,91.3,74,Matches
520,Luis Suárez\Luis-Suarez,uy URU,FW,Atlético Madrid,34-115,1987,26.9,872,14,48,371,481,174,840,10,37,27.0,16,9,493,1495,801,53,9,13,55,31,1285,691,53.8,228,Matches
