Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
37,Ezequiel Ávila\Ezequiel-Avila,ar ARG,MFFW,Osasuna,27-102,1994,2.2,0,0,0,4,5,2,2,1,2,0,0,0,13,3,8,27.3,Matches
38,Ramon Azeez\Ramon-Azeez,ng NGA,MFDF,Granada,28-158,1992,1.1,0,0,0,1,1,0,1,0,3,0,0,0,12,4,1,80.0,Matches
39,Carlos Bacca\Carlos-Bacca,co COL,FW,Villarreal,34-253,1986,8.0,1,0,0,10,6,6,6,3,7,0,0,0,25,13,21,38.2,Matches
40,Édgar Badía\Edgar-Badia,es ESP,GK,Elche,29-096,1992,30.0,0,0,0,0,4,0,0,0,0,0,0,0,147,0,0,,Matches
41,Alex Baena\Alex-Baena,es ESP,MF,Villarreal,19-303,2001,1.5,0,0,0,2,4,0,3,3,0,0,0,0,5,0,2,0.0,Matches
42,Miguel Baeza\Miguel-Baeza,es ESP,MFFW,Celta Vigo,21-053,2000,5.9,0,0,0,5,8,4,6,6,5,0,0,0,33,10,10,50.0,Matches
43,Mikel Balenziaga\Mikel-Balenziaga,es ESP,DF,Athletic Club,33-079,1988,17.8,0,0,0,17,15,1,24,13,15,0,0,0,142,18,17,51.4,Matches
44,Barcia\Barcia,es ESP,DF,Granada,20-139,2000,1.0,1,0,0,2,1,0,1,1,0,1,0,0,14,4,0,100.0,Matches
45,Enis Bardhi\Enis-Bardhi,mk MKD,MF,Levante,25-321,1995,18.0,4,0,0,25,23,4,33,31,21,0,0,0,145,5,26,16.1,Matches
46,Kike Barja\Kike-Barja,es ESP,MFFW,Osasuna,24-048,1997,15.0,2,0,0,15,23,1,52,21,8,1,0,0,106,24,20,54.5,Matches
47,Marc Baró\Marc-Baro,es ESP,DF,Cádiz,21-269,1999,1.0,0,0,0,1,3,0,2,3,1,0,0,0,5,0,0,,Matches
48,Antonio Barragán\Antonio-Barragan,es ESP,DF,Elche,33-341,1987,23.8,8,0,0,34,26,2,35,30,14,1,1,0,147,29,21,58.0,Matches
49,Ander Barrenetxea\Ander-Barrenetxea,es ESP,MFFW,Real Sociedad,19-143,2001,14.4,7,0,0,41,20,4,28,11,20,0,0,0,100,6,28,17.6,Matches
50,Marc Bartra\Marc-Bartra,es ESP,DF,Betis,30-124,1991,17.8,3,0,0,27,14,2,4,24,10,0,3,0,172,49,30,62.0,Matches
51,Rodrigo Battaglia\Rodrigo-Battaglia,ar ARG,MF,Alavés,29-311,1991,27.5,10,1,0,35,30,1,6,18,32,0,0,0,257,45,24,65.2,Matches
52,Jon Bautista\Jon-Bautista,es ESP,FWMF,Real Sociedad,25-320,1995,4.1,3,0,0,11,6,2,3,2,5,0,0,0,18,22,26,45.8,Matches
53,Fran Beltrán\Fran-Beltran,es ESP,MF,Celta Vigo,22-105,1999,14.6,3,0,0,16,9,0,4,17,19,0,0,0,147,8,23,25.8,Matches
54,Sergio Benito\Sergio-Benito,es ESP,FW,Valladolid,22-057,1999,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
55,Karim Benzema\Karim-Benzema,fr FRA,FW,Real Madrid,33-151,1987,31.2,2,0,0,18,25,23,25,13,6,0,0,0,106,25,31,44.6,Matches
56,Yuri Berchiche\Yuri-Berchiche,es ESP,DF,Athletic Club,31-098,1990,18.7,3,0,0,18,30,1,64,16,23,1,0,0,176,23,14,62.2,Matches
57,Álex Berenguer\Alex-Berenguer,es ESP,MFFW,Athletic Club,25-319,1995,24.3,4,0,0,48,43,17,62,23,31,1,0,0,146,25,33,43.1,Matches
58,Pedro Bigas\Pedro-Bigas,es ESP,DF,Eibar,30-246,1990,16.8,1,0,0,21,6,0,6,16,12,0,2,0,219,60,25,70.6,Matches
59,Blanco\Blanco,es ESP,MFDF,Real Madrid,20-300,2000,2.4,0,0,0,6,2,0,3,2,3,0,0,0,30,1,5,16.7,Matches
60,Alejandro Blanco\Alejandro-Blanco,es ESP,MF,Valencia,22-154,1998,6.4,1,0,0,4,8,2,6,6,3,0,0,0,41,2,8,20.0,Matches
61,Rubén Blanco\Ruben-Blanco,es ESP,GK,Celta Vigo,25-298,1995,18.2,0,1,0,1,2,0,0,0,0,0,0,0,88,0,0,,Matches
62,Yann Bodiger\Yann-Bodiger,fr FRA,MF,Cádiz,26-099,1995,2.8,0,0,0,9,3,0,1,6,2,0,0,0,29,10,15,40.0,Matches
63,Yassine Bounou\Yassine-Bounou,ma MAR,GK,Sevilla,30-044,1991,33.0,3,0,0,0,4,0,0,0,0,0,0,1,140,0,0,,Matches
