Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err,Matches
134,Carlos Dominguez\Carlos-Dominguez,es ESP,DF,Celta Vigo,20-138,2001,3.0,6,4,5,1,0,3,4,75.0,1,36,8,22.2,26,10,0,6,4,0,2,5,11,22,0,Matches
135,John Donald\John-Donald,es ESP,DF,Elche,20-262,2000,0.6,0,0,0,0,0,0,0,,0,2,2,100.0,2,0,0,0,0,0,0,0,0,0,0,Matches
136,Cheick Doukouré\Cheick-Doukoure,ci CIV,MF,Levante,28-250,1992,1.1,6,4,2,1,3,3,4,75.0,1,43,8,18.6,8,26,9,3,1,0,2,2,8,2,0,Matches
137,Idrissa Doumbia\Idrissa-Doumbia,ci CIV,MF,Huesca,23-035,1998,8.4,16,9,4,10,2,4,13,30.8,9,114,38,33.3,43,64,7,8,3,0,5,9,25,11,0,Matches
138,Domingos Duarte\Domingos-Duarte,pt POR,DF,Granada,26-070,1995,26.3,40,19,26,13,1,13,21,61.9,8,140,47,33.6,68,67,5,40,20,0,20,31,71,112,1,Matches
139,Óscar Duarte\Oscar-Duarte,cr CRC,DF,Levante,31-350,1989,21.9,22,14,16,5,1,10,26,38.5,16,172,58,33.7,90,75,7,31,19,1,12,25,47,176,1,Matches
140,Rubén Duarte\Ruben-Duarte,es ESP,DF,Alavés,25-213,1995,27.3,59,32,30,22,7,23,47,48.9,24,359,111,30.9,150,157,52,76,7,0,69,39,98,115,1,Matches
141,Unai Dufur\Unai-Dufur,es ESP,DF,Eibar,22-138,1999,0.7,2,2,2,0,0,1,3,33.3,2,11,5,45.5,8,3,0,1,0,0,1,0,2,6,0,Matches
142,Hugo Duro\Hugo-Duro,es ESP,FW,Real Madrid,21-190,1999,0.6,0,0,0,0,0,0,0,,0,4,0,0.0,0,2,2,1,0,0,1,0,0,0,0,Matches
143,Aritz Elustondo\Aritz-Elustondo,es ESP,DF,Real Sociedad,27-052,1994,19.9,31,17,21,7,3,15,24,62.5,9,145,50,34.5,77,61,7,17,5,0,12,7,38,111,0,Matches
144,Rodrigo Ely\Rodrigo-Ely,br BRA,DF,Alavés,27-197,1993,5.2,7,3,5,2,0,3,4,75.0,1,28,14,50.0,12,15,1,5,1,0,4,2,9,33,1,Matches
145,Emerson\Emerson,br BRA,DF,Betis,22-125,1999,32.2,91,57,60,24,7,41,80,51.3,39,521,159,30.5,251,188,82,59,6,0,53,67,158,115,1,Matches
146,Youssef En-Nesyri\Youssef-En-Nesyri,ma MAR,FW,Sevilla,23-352,1997,24.7,24,16,3,11,10,5,21,23.8,16,382,84,22.0,32,165,185,15,1,0,14,8,32,21,0,Matches
147,Sergi Enrich\Sergi-Enrich,es ESP,FW,Eibar,31-082,1990,14.8,18,13,6,7,5,5,18,27.8,13,296,102,34.5,25,148,123,13,0,0,13,10,28,8,0,Matches
148,Aarón Escandell\Aaron-Escandell,es ESP,GK,Granada,25-234,1995,4.0,0,0,0,0,0,0,0,,0,1,1,100.0,1,0,0,0,0,0,0,0,0,2,0,Matches
149,Dani Escriche\Dani-Escriche,es ESP,FWMF,Huesca,23-056,1998,9.5,16,13,9,1,6,4,12,33.3,8,141,31,22.0,43,66,32,11,0,0,11,8,24,4,0,Matches
150,Sergio Escudero\Sergio-Escudero,es ESP,DF,Sevilla,31-259,1989,5.5,12,8,5,6,1,5,8,62.5,3,78,21,26.9,23,34,21,7,2,0,5,5,17,10,0,Matches
151,Alfonso Espino\Alfonso-Espino,uy URU,DF,Cádiz,29-134,1992,28.9,92,58,66,25,1,44,92,47.8,48,525,140,26.7,310,174,41,71,7,1,64,46,138,86,0,Matches
152,Vicente Esquerdo\Vicente-Esquerdo,es ESP,MF,Valencia,22-137,1999,2.6,7,6,4,2,1,1,4,25.0,3,46,21,45.7,23,18,5,9,3,0,6,5,12,6,0,Matches
153,Pervis Estupiñán\Pervis-Estupinan,ec ECU,DF,Villarreal,23-118,1998,13.0,37,24,19,14,4,12,18,66.7,6,175,70,40.0,80,65,30,21,2,0,19,29,66,23,2,Matches
154,Xabier Etxeita\Xabier-Etxeita,es ESP,DF,Getafe,33-200,1987,9.8,12,6,7,5,0,5,14,35.7,9,77,29,37.7,46,25,6,11,3,0,8,10,22,77,1,Matches
155,Edu Expósito\Edu-Exposito,es ESP,MF,Eibar,24-291,1996,27.3,43,27,15,25,3,18,60,30.0,42,445,150,33.7,105,248,92,40,4,0,36,32,75,23,1,Matches
156,Fali\Fali,es ESP,DFMF,Cádiz,27-280,1993,28.3,43,21,26,14,3,10,27,37.0,17,264,72,27.3,132,114,18,43,15,1,28,24,67,145,0,Matches
157,Ansu Fati\Ansu-Fati,es ESP,FW,Barcelona,18-200,2002,4.8,8,3,2,3,3,2,5,40.0,3,80,18,22.5,18,29,33,8,0,0,8,1,9,1,0,Matches
158,Nabil Fekir\Nabil-Fekir,fr FRA,MFFW,Betis,27-305,1993,28.1,43,35,11,15,17,6,26,23.1,20,581,164,28.2,61,328,192,30,1,0,29,11,54,3,0,Matches
159,Felipe\Felipe,br BRA,DF,Atlético Madrid,32-003,1989,21.9,35,21,26,9,0,15,21,71.4,6,174,51,29.3,98,65,11,36,17,0,19,41,76,151,0,Matches
160,João Félix\Joao-Felix,pt POR,FWMF,Atlético Madrid,21-190,1999,17.2,9,6,2,6,1,4,12,33.3,8,176,56,31.8,15,95,66,7,0,0,7,8,17,3,0,Matches
161,Aitor Fernández\Aitor-Fernandez,es ESP,GK,Levante,30-016,1991,29.0,0,0,0,0,0,0,0,,0,6,1,16.7,6,0,0,1,0,0,1,0,0,4,0,Matches
162,Álex Fernández\Alex-Fernandez,es ESP,MF,Cádiz,28-216,1992,21.6,25,15,9,13,3,9,32,28.1,23,328,69,21.0,119,166,43,23,1,0,22,21,46,24,0,Matches
163,Álvaro Fernández\Alvaro-Fernandez,es ESP,GK,Huesca,23-036,1998,21.0,0,0,0,0,0,0,2,0.0,2,4,3,75.0,3,1,0,0,0,0,0,0,0,1,0,Matches
164,Andrés Fernández\Andres-Fernandez,es ESP,GK,Huesca,34-153,1986,16.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,2,Matches
165,Augusto Fernández\Augusto-Fernandez,ar ARG,MF,Cádiz,35-039,1986,3.5,9,4,1,8,0,5,12,41.7,7,96,27,28.1,35,48,13,5,1,0,4,9,18,7,0,Matches
166,Carlos Fernández\Carlos-Fernandez,es ESP,FW,Sevilla,24-362,1996,1.6,1,0,1,0,0,0,2,0.0,2,17,1,5.9,2,4,11,3,1,0,2,1,2,0,0,Matches
167,Carlos Fernández\Carlos-Fernandez,es ESP,FWMF,Real Sociedad,24-362,1996,4.1,2,1,0,2,0,1,7,14.3,6,109,24,22.0,13,60,36,6,1,0,5,3,5,5,0,Matches
168,Joaquín Fernández\Joaquin-Fernandez,es ESP,DF,Valladolid,24-353,1996,23.0,29,18,20,9,0,7,22,31.8,15,181,63,34.8,104,65,12,40,15,0,25,33,62,151,1,Matches
169,Fernando\Fernando,br BRA,MF,Sevilla,33-298,1987,28.3,68,52,33,29,6,30,56,53.6,26,365,131,35.9,156,164,45,45,9,0,36,40,108,78,0,Matches
170,David Ferreiro\David-Ferreiro,es ESP,MFFW,Huesca,33-048,1988,27.1,29,13,15,9,5,6,41,14.6,35,468,101,21.6,120,234,114,41,1,0,40,18,47,11,0,Matches
171,Facundo Ferreyra\Facundo-Ferreyra,ar ARG,FW,Celta Vigo,30-066,1991,3.3,2,2,0,2,0,1,1,100.0,0,67,12,17.9,9,38,20,4,0,0,4,0,2,2,0,Matches
172,Fidel\Fidel,es ESP,MFDF,Elche,31-204,1989,25.6,46,30,30,10,6,24,80,30.0,56,395,107,27.1,169,161,65,40,4,0,36,13,59,21,0,Matches
173,Junior Firpo\Junior-Firpo,es ESP,DF,Barcelona,24-270,1996,2.7,2,2,1,1,0,0,1,0.0,1,27,11,40.7,13,10,4,5,3,0,2,3,5,5,0,Matches
174,Kingsley Fobi\Kingsley-Fobi,gh GHA,DF,Granada,22-241,1998,0.5,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,1,0,0,1,0,0,1,0,Matches
175,Ramón Folch\Ramon-Folch,es ESP,MF,Elche,31-227,1989,0.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,Matches
176,José Fontán\Jose-Fontan,es ESP,DF,Celta Vigo,21-097,2000,7.2,14,7,10,4,0,3,11,27.3,8,97,24,24.7,42,49,6,11,3,0,8,9,23,45,0,Matches
177,Dimitri Foulquier\Dimitri-Foulquier,fr FRA,DF,Granada,28-057,1993,28.6,43,27,25,14,4,18,32,56.3,14,324,96,29.6,145,139,40,49,6,0,43,32,75,76,1,Matches
178,Juan Foyth\Juan-Foyth,ar ARG,DFMF,Villarreal,23-127,1998,13.0,42,26,25,11,6,9,31,29.0,22,198,65,32.8,81,101,16,35,8,1,27,19,61,31,1,Matches
179,Jorge de Frutos\Jorge-de-Frutos,es ESP,MFFW,Levante,24-088,1997,23.3,50,31,15,25,10,13,46,28.3,33,439,117,26.7,119,180,140,34,3,0,31,24,74,21,1,Matches
180,Ramiro Funes Mori\Ramiro-Funes-Mori,ar ARG,DF,Villarreal,30-075,1991,8.1,11,3,6,5,0,4,6,66.7,2,56,16,28.6,34,20,2,10,6,0,4,14,25,52,0,Matches
181,Javi Galán\Javi-Galan,es ESP,DF,Huesca,26-181,1994,34.1,109,74,57,47,5,42,83,50.6,41,556,187,33.6,256,242,58,69,4,0,65,28,137,56,0,Matches
182,Enric Gallego\Enric-Gallego,es ESP,FW,Osasuna,34-249,1986,8.2,9,6,4,2,3,0,9,0.0,9,155,43,27.7,17,67,71,7,0,0,7,1,10,7,0,Matches
183,Kévin Gameiro\Kevin-Gameiro,fr FRA,FW,Valencia,34-010,1987,12.0,7,6,4,1,2,3,10,30.0,7,184,45,24.5,32,79,73,12,1,0,11,0,7,1,0,Matches
184,Aleix García\Aleix-Garcia,es ESP,MF,Eibar,23-325,1997,4.9,6,4,2,4,0,2,8,25.0,6,75,21,28.0,10,46,19,7,0,0,7,4,10,3,0,Matches
185,Borja García\Borja-Garcia,es ESP,MFFW,Huesca,30-198,1990,12.3,15,10,5,8,2,3,11,27.3,8,113,46,40.7,33,58,22,12,0,0,12,9,24,6,0,Matches
186,Dani García\Dani-Garcia,es ESP,MF,Athletic Club,30-360,1990,21.3,34,23,10,21,3,14,44,31.8,30,282,93,33.0,68,165,49,29,7,0,22,29,63,56,0,Matches
187,David García\David-Garcia,es ESP,DF,Osasuna,27-094,1994,34.0,39,27,19,18,2,15,28,53.6,13,299,127,42.5,140,151,8,50,19,0,31,51,90,262,0,Matches
188,Manu García\Manu-Garcia,es ESP,MF,Alavés,35-023,1986,11.5,25,17,9,14,2,6,29,20.7,23,229,67,29.3,79,127,23,24,3,0,21,13,38,27,0,Matches
189,Raúl García\Raul-Garcia,es ESP,FWMF,Athletic Club,34-312,1986,19.4,37,21,8,20,9,6,24,25.0,18,375,95,25.3,50,171,154,40,3,0,37,10,47,18,0,Matches
190,Raúl García\Raul-Garcia,es ESP,DFMF,Valladolid,32-019,1989,5.6,9,3,5,4,0,5,14,35.7,9,66,20,30.3,20,34,12,11,1,0,10,5,14,18,0,Matches
191,Rubén García\Ruben-Garcia,es ESP,MFFW,Osasuna,27-309,1993,30.2,50,39,28,17,5,17,42,40.5,25,422,134,31.8,137,182,103,54,3,0,51,27,77,28,0,Matches
192,Sergi García\Sergi-Garcia,es ESP,MF,Alavés,22-035,1999,0.2,1,1,0,1,0,0,1,0.0,1,3,1,33.3,0,1,2,0,0,0,0,0,1,0,0,Matches
193,Unai García\Unai-Garcia,es ESP,DF,Osasuna,29-105,1992,13.2,23,11,15,5,3,6,15,40.0,9,99,28,28.3,50,43,6,18,8,0,10,15,38,53,0,Matches
194,Mario Gaspar\Mario-Gaspar,es ESP,DF,Villarreal,30-176,1990,19.6,49,19,17,26,6,14,34,41.2,20,275,70,25.5,104,125,46,41,4,0,37,25,74,70,0,Matches
195,Paulo Gazzaniga\Paulo-Gazzaniga,ar ARG,GK,Elche,29-137,1992,7.0,0,0,0,0,0,0,0,,0,1,1,100.0,1,0,0,0,0,0,0,0,0,0,0,Matches
196,David Gil\David-Gil,es ESP,GK,Cádiz,27-128,1994,3.0,0,0,0,0,0,0,1,0.0,1,1,0,0.0,1,0,0,0,0,0,0,0,0,0,0,Matches
197,Álvaro Giménez\Alvaro-Gimenez,es ESP,FWMF,Cádiz,30-000,1991,4.5,3,2,2,1,0,1,4,25.0,3,59,17,28.8,7,27,25,5,0,0,5,3,6,0,0,Matches
198,Dani Gómez\Dani-Gomez,es ESP,FW,Levante,22-293,1998,17.8,6,5,3,2,1,0,10,0.0,10,270,45,16.7,21,136,113,8,1,0,7,3,9,3,0,Matches
199,Ibai Gómez\Ibai-Gomez,es ESP,MF,Athletic Club,31-189,1989,3.9,4,3,1,2,1,2,7,28.6,5,70,13,18.6,17,36,17,9,0,0,9,2,6,3,0,Matches
200,Maxi Gómez\Maxi-Gomez,uy URU,FW,Valencia,24-278,1996,29.0,11,9,3,7,1,3,15,20.0,12,242,56,23.1,18,118,106,13,4,0,9,2,13,27,0,Matches
201,Moi Gómez\Moi-Gomez,es ESP,MFFW,Villarreal,26-330,1994,28.4,24,15,8,10,6,10,40,25.0,30,369,109,29.5,81,167,121,32,3,0,29,21,45,17,0,Matches
202,Papu Gómez\Papu-Gomez,ar ARG,MFFW,Sevilla,33-093,1988,10.0,13,7,4,6,3,7,20,35.0,13,150,46,30.7,33,67,50,15,1,0,14,19,32,6,0,Matches
203,Sergi Gómez\Sergi-Gomez,es ESP,DF,Sevilla,29-052,1992,8.0,6,3,4,2,0,1,2,50.0,1,51,18,35.3,28,23,0,9,3,0,6,3,9,34,0,Matches
204,Sergio Gómez\Sergio-Gomez,es ESP,MFFW,Huesca,20-257,2000,7.8,26,15,12,12,2,11,23,47.8,12,146,43,29.5,54,64,28,15,0,0,15,18,44,4,0,Matches
205,Maxime Gonalons\Maxime-Gonalons,fr FRA,MF,Granada,32-070,1989,16.4,65,50,26,34,5,22,52,42.3,30,315,104,33.0,121,165,29,17,0,0,17,24,89,19,0,Matches
206,Bruno González\Bruno-Gonzalez,es ESP,DF,Valladolid,30-360,1990,25.1,32,15,22,10,0,14,30,46.7,16,249,78,31.3,148,96,5,35,17,0,18,29,61,147,3,Matches
207,Diego González\Diego-Gonzalez,es ESP,DF,Elche,26-111,1995,14.2,16,12,9,5,2,4,11,36.4,7,130,44,33.8,82,45,3,27,11,1,16,15,31,83,2,Matches
208,Sergio González\Sergio-Gonzalez,es ESP,MF,Cádiz,24-005,1997,1.0,0,0,0,0,0,0,2,0.0,2,18,4,22.2,3,15,0,0,0,0,0,2,2,2,0,Matches
209,Urko González\Urko-Gonzalez,es ESP,MF,Real Sociedad,20-060,2001,0.5,0,0,0,0,0,0,1,0.0,1,10,3,30.0,0,9,1,1,1,0,0,0,0,1,0,Matches
210,Andoni Gorosabel\Andoni-Gorosabel,es ESP,DF,Real Sociedad,24-288,1996,25.5,66,34,37,24,5,29,76,38.2,47,336,101,30.1,142,121,73,32,2,0,30,25,91,52,0,Matches
211,Antoine Griezmann\Antoine-Griezmann,fr FRA,FWMF,Barcelona,30-059,1991,27.9,37,26,11,16,10,9,41,22.0,32,406,121,29.8,59,194,153,32,4,0,28,12,49,14,0,Matches
212,Andrés Guardado\Andres-Guardado,mx MEX,MF,Betis,34-233,1986,13.9,29,16,12,12,5,8,24,33.3,16,194,52,26.8,68,98,28,14,4,0,10,21,50,23,1,Matches
213,Sergi Guardiola\Sergi-Guardiola,es ESP,FW,Valladolid,29-355,1991,19.6,10,6,1,3,6,2,26,7.7,24,412,101,24.5,31,203,178,16,2,0,14,9,19,16,0,Matches
214,Nemanja Gudelj\Nemanja-Gudelj,rs SRB,MF,Sevilla,29-184,1991,10.6,27,16,17,10,0,8,15,53.3,7,152,52,34.2,65,73,14,15,7,0,8,12,39,37,1,Matches
215,Gonçalo Guedes\Goncalo-Guedes,pt POR,MFFW,Valencia,24-171,1996,24.6,26,17,11,9,6,9,38,23.7,29,329,86,26.1,90,131,108,31,1,0,30,18,44,5,0,Matches
216,Ander Guevara\Ander-Guevara,es ESP,MF,Real Sociedad,23-316,1997,22.1,42,29,17,22,3,14,40,35.0,26,370,100,27.0,113,206,51,30,5,0,25,23,65,44,1,Matches
217,John Guidetti\John-Guidetti,se SWE,FWMF,Alavés,29-034,1992,1.5,0,0,0,0,0,0,1,0.0,1,36,6,16.7,3,17,16,0,0,0,0,0,0,1,0,Matches
218,Hugo Guillamón\Hugo-Guillamon,es ESP,DF,Valencia,21-108,2000,21.1,24,14,17,7,0,6,17,35.3,11,151,43,28.5,91,59,1,32,14,0,18,21,45,141,4,Matches
219,Jon Guridi\Jon-Guridi,es ESP,MF,Real Sociedad,26-080,1995,9.2,19,12,6,10,3,4,16,25.0,12,159,43,27.0,29,95,35,10,1,0,9,9,28,8,0,Matches
220,Raúl Guti\Raul-Guti,es ESP,MF,Elche,24-140,1996,30.8,39,25,15,19,5,11,40,27.5,29,409,114,27.9,160,188,61,41,2,0,39,41,80,30,0,Matches
221,Marcos Mauro López Gutiérrez\Marcos-Mauro-Lopez-Gutierrez,ar ARG,DF,Cádiz,30-130,1991,20.3,25,15,18,7,0,7,18,38.9,11,132,47,35.6,86,44,2,26,14,0,12,19,44,89,0,Matches
222,Miguel Gutiérrez\Miguel-Gutierrez,es ESP,DF,Real Madrid,19-296,2001,2.8,3,1,0,3,0,0,4,0.0,4,50,11,22.0,18,22,10,7,1,0,6,5,8,8,0,Matches
223,Munir El Haddadi\Munir-El-Haddadi,ma MAR,FW,Sevilla,25-260,1995,9.4,11,9,5,5,1,2,19,10.5,17,160,39,24.4,38,73,49,8,0,0,8,3,14,5,0,Matches
224,Eden Hazard\Eden-Hazard,be BEL,FWMF,Real Madrid,30-132,1991,5.9,1,0,0,1,0,1,5,20.0,4,34,5,14.7,8,17,9,2,1,0,1,4,5,1,0,Matches
225,Mario Hermoso\Mario-Hermoso,es ESP,DF,Atlético Madrid,25-335,1995,28.0,61,37,45,12,4,37,67,55.2,30,251,74,29.5,147,88,16,47,10,0,37,33,94,84,0,Matches
226,Aridane Hernández\Aridane-Hernandez,gq EQG,DF,Osasuna,32-057,1989,22.5,31,21,21,9,1,10,16,62.5,6,133,45,33.8,75,50,8,38,19,0,19,44,75,173,0,Matches
227,Héctor Herrera\Hector-Herrera,mx MEX,MF,Atlético Madrid,31-030,1990,7.5,17,13,8,6,3,6,18,33.3,12,136,40,29.4,54,73,9,12,2,0,10,9,26,17,0,Matches
228,Sergio Herrera\Sergio-Herrera,es ESP,GK,Osasuna,27-348,1993,32.9,0,0,0,0,0,0,2,0.0,2,3,0,0.0,3,0,0,1,0,0,1,0,0,2,0,Matches
229,Yangel Herrera\Yangel-Herrera,ve VEN,MF,Granada,23-132,1998,25.7,58,41,21,31,6,14,56,25.0,42,583,151,25.9,166,314,103,59,15,2,44,26,84,47,0,Matches
230,Pablo Hervías\Pablo-Hervias,es ESP,DFMF,Valladolid,28-072,1993,13.3,26,17,9,14,3,15,31,48.4,16,139,42,30.2,56,65,18,11,0,0,11,16,42,14,0,Matches
231,Jordan Holsgrove\Jordan-Holsgrove,sco SCO,MF,Celta Vigo,21-251,1999,1.6,5,1,3,1,1,2,3,66.7,1,43,13,30.2,14,17,12,2,0,0,2,0,5,2,0,Matches
232,Vicente Iborra\Vicente-Iborra,es ESP,MF,Villarreal,33-123,1988,10.3,18,13,9,7,2,5,19,26.3,14,126,39,31.0,50,61,15,19,8,0,11,5,23,28,0,Matches
233,Oussama Idrissi\Oussama-Idrissi,ma MAR,FWMF,Sevilla,25-082,1996,0.3,2,1,0,1,1,0,1,0.0,1,7,3,42.9,2,3,2,1,0,0,1,1,3,0,0,Matches
234,Iglesias\Iglesias,es ESP,DFMF,Getafe,22-320,1998,5.7,25,15,11,10,4,6,12,50.0,6,139,34,24.5,45,66,28,13,2,0,11,11,36,22,0,Matches
235,Borja Iglesias\Borja-Iglesias,es ESP,FW,Betis,28-122,1993,14.8,1,0,0,0,1,0,6,0.0,6,214,47,22.0,14,103,97,11,3,0,8,5,6,13,0,Matches
236,Ilaix\Ilaix,es ESP,MF,Barcelona,18-120,2003,5.4,13,8,3,8,2,5,12,41.7,7,141,37,26.2,22,79,40,12,1,0,11,8,21,6,0,Matches
237,Asier Illarramendi\Asier-Illarramendi,es ESP,MF,Real Sociedad,31-072,1990,3.7,4,3,1,3,0,1,4,25.0,3,37,14,37.8,8,18,11,6,1,0,5,5,9,9,0,Matches
238,Pablo Insua\Pablo-Insua,es ESP,DF,Huesca,27-252,1993,17.6,30,18,22,8,0,12,32,37.5,20,227,79,34.8,151,70,6,20,8,0,12,15,45,80,0,Matches
239,Takashi Inui\Takashi-Inui,jp JPN,MFFW,Eibar,32-351,1988,19.2,16,10,5,5,6,5,18,27.8,13,297,93,31.3,63,95,139,26,0,0,26,13,29,5,0,Matches
240,Alexander Isak\Alexander-Isak,se SWE,FW,Real Sociedad,21-240,1999,25.0,14,10,0,5,9,2,9,22.2,7,284,79,27.8,12,80,192,13,2,0,11,4,18,6,0,Matches
241,Isco\Isco,es ESP,MFFW,Real Madrid,29-028,1992,9.7,9,8,4,4,1,1,15,6.7,14,137,41,29.9,28,75,34,10,1,0,9,5,14,4,0,Matches
242,Jairo Izquierdo\Jairo-Izquierdo,es ESP,MFDF,Cádiz,27-209,1993,13.9,22,6,11,7,4,10,36,27.8,26,182,46,25.3,70,76,36,18,1,0,17,16,38,12,0,Matches
243,Saidy Janko\Saidy-Janko,ch SUI,DF,Valladolid,25-209,1995,12.7,19,12,15,3,1,6,17,35.3,11,166,43,25.9,82,57,27,22,1,0,21,22,41,46,0,Matches
244,Adnan Januzaj\Adnan-Januzaj,be BEL,FWMF,Real Sociedad,26-103,1995,11.2,11,5,1,8,2,1,6,16.7,5,105,29,27.6,9,62,34,9,2,0,7,5,16,4,0,Matches
245,Jason\Jason,es ESP,MFDF,Valencia,26-317,1994,4.9,11,6,5,4,2,3,16,18.8,13,98,24,24.5,29,51,18,10,2,0,8,9,20,6,1,Matches
246,Luis Javier Suárez\Luis-Javier-Suarez,co COL,FWMF,Granada,23-168,1997,17.7,22,15,7,7,8,3,16,18.8,13,257,61,23.7,29,114,114,15,2,0,13,10,32,14,0,Matches
247,Joaquín\Joaquin,es ESP,FWMF,Betis,39-302,1981,14.3,7,5,2,4,1,3,12,25.0,9,152,35,23.0,33,76,43,18,1,0,17,14,21,10,0,Matches
248,John Joe\John-Joe,ie IRL,MFDF,Getafe,17-237,2003,0.7,1,1,0,1,0,0,0,,0,24,4,16.7,4,17,3,1,0,0,1,1,2,0,0,Matches
249,Frenkie de Jong\Frenkie-de-Jong,nl NED,MFDF,Barcelona,24-007,1997,34.2,38,25,18,16,4,11,37,29.7,26,349,111,31.8,95,177,77,32,3,0,29,34,72,31,1,Matches
250,Luuk de Jong\Luuk-de-Jong,nl NED,FW,Sevilla,30-265,1990,13.9,10,5,4,3,3,1,5,20.0,4,194,62,32.0,13,86,95,12,3,0,9,3,13,14,0,Matches
251,Jony\Jony,es ESP,MFFW,Osasuna,29-314,1991,9.6,6,6,1,3,2,3,13,23.1,10,117,30,25.6,21,53,43,8,0,0,8,11,17,3,0,Matches
252,Joan Jordán\Joan-Jordan,es ESP,MF,Sevilla,26-317,1994,26.1,49,27,14,28,7,18,78,23.1,60,468,126,26.9,111,282,75,28,1,0,27,19,68,33,1,Matches
253,Josan\Josan,es ESP,MFDF,Elche,31-167,1989,20.6,39,26,25,14,0,10,35,28.6,25,273,66,24.2,117,107,49,35,2,0,33,20,59,25,1,Matches
254,Willian José\Willian-Jose,br BRA,FW,Real Sociedad,29-177,1991,7.7,4,4,0,4,0,2,4,50.0,2,100,35,35.0,3,37,60,5,1,0,4,1,5,5,0,Matches
255,Joselu\Joselu,es ESP,FW,Alavés,31-053,1990,33.4,29,21,10,16,3,7,28,25.0,21,559,130,23.3,53,274,232,36,6,0,30,17,46,56,0,Matches
256,Josema\Josema,es ESP,DF,Elche,24-347,1996,21.6,47,28,37,10,0,7,18,38.9,11,236,81,34.3,157,66,13,41,9,0,32,34,81,95,0,Matches
257,Jota\Jota,es ESP,MF,Alavés,29-337,1991,15.5,24,14,8,10,6,4,24,16.7,20,306,73,23.9,78,157,71,15,0,0,15,16,40,11,0,Matches
258,Jota\Jota,pt POR,FW,Valladolid,22-050,1999,7.1,,3,,,,,,,,,,,,,,,,,,5,,,,Matches
259,Luka Jović\Luka-Jovic,rs SRB,FWMF,Real Madrid,23-147,1997,1.7,0,0,0,0,0,0,0,,0,15,2,13.3,2,2,11,0,0,0,0,0,0,0,0,Matches
260,Juanmi\Juanmi,es ESP,FWMF,Betis,27-364,1993,6.7,11,8,2,4,5,5,16,31.3,11,134,39,29.1,21,63,50,3,0,0,3,3,14,2,1,Matches
261,Vinicius Júnior\Vinicius-Junior,br BRA,FW,Real Madrid,20-311,2000,21.3,34,24,15,9,10,9,44,20.5,35,433,115,26.6,108,170,155,37,2,0,35,8,42,7,0,Matches
262,Jens Jønsson\Jens-Jonsson,dk DEN,MF,Cádiz,28-129,1993,28.4,55,40,29,23,3,17,43,39.5,26,463,138,29.8,175,240,48,52,9,0,43,47,102,50,0,Matches
263,Damian Kądzior\Damian-Kadzior,pl POL,FWMF,Eibar,28-337,1992,2.2,1,1,0,1,0,1,6,16.7,5,34,8,23.5,4,15,15,1,0,0,1,0,1,0,0,Matches
264,Lee Kangin\Lee-Kangin,kr KOR,FWMF,Valencia,20-089,2001,13.1,17,13,8,5,4,4,30,13.3,26,298,72,24.2,50,162,86,9,0,0,9,2,19,1,0,Matches
265,Stephane Keller\Stephane-Keller,cm CMR,DF,Alavés,19-272,2001,0.2,1,1,0,1,0,0,0,,0,2,1,50.0,1,1,0,1,0,0,1,0,1,0,0,Matches
266,Kenedy\Kenedy,br BRA,FWMF,Granada,25-100,1996,16.3,28,18,15,8,5,4,25,16.0,21,258,64,24.8,80,96,82,32,4,0,28,21,49,16,1,Matches
267,Kike\Kike,es ESP,FW,Eibar,31-175,1989,33.3,26,22,7,11,8,3,24,12.5,21,531,168,31.6,31,204,296,33,3,0,30,8,34,25,0,Matches
268,Giorgi Kochorashvili\Giorgi-Kochorashvili,ge GEO,MF,Levante,21-324,1999,0.3,0,0,0,0,0,0,0,,0,6,3,50.0,1,4,1,0,0,0,0,0,0,0,0,Matches
269,Kenan Kodro\Kenan-Kodro,ba BIH,FW,Valladolid,27-273,1993,5.1,0,0,0,0,0,0,2,0.0,2,59,11,18.6,6,19,34,1,0,0,1,4,4,5,0,Matches
270,Kenan Kodro\Kenan-Kodro,ba BIH,FWMF,Athletic Club,27-273,1993,0.5,0,0,0,0,0,0,1,0.0,1,9,1,11.1,1,4,4,0,0,0,0,0,0,0,0,Matches
271,Koba Koindredi\Koba-Koindredi,fr FRA,MF,Valencia,19-204,2001,0.2,2,2,1,1,0,0,1,0.0,1,4,3,75.0,1,3,0,0,0,0,0,0,2,1,0,Matches
272,Koke\Koke,es ESP,MF,Atlético Madrid,29-131,1992,32.6,76,51,26,37,13,30,104,28.8,74,588,168,28.6,197,296,95,42,5,0,37,37,113,42,0,Matches
273,Geoffrey Kondogbia\Geoffrey-Kondogbia,cf CTA,MF,Valencia,28-093,1993,4.9,15,10,7,7,1,5,15,33.3,10,118,37,31.4,49,64,5,4,1,0,3,4,19,13,0,Matches
